artist_name,citizenship,birth_place,debut_year,age
a½eljko Joksimoviat,Serbia,Belgrade,2004,53
Achille Lauro,Italy,Verona,2022,35
"Achinoam ""Noa"" Nini",Israel,Tel Aviv,2009,56
Agathonas Iakovidis,Greece,Evangelismos,2013,70
Aija Andrejeva,Latvia,Ogre,2010,39
Albina Graiat,Croatia,Split,2021,26
Albina Kelmendi,Kosovo,Peja,2023,37
Alex Callier,Belgium,Sint-Niklaas,2021,52
Alex Christensen,Germany,Hamburg,2009,58
Alex Mattson,Finland,Ylivieska,2021,27
Alexander Rybak,Norway,Minsk,2009,39
Alexey Vorobyov,Russia,Tula,2011,37
Aliona Moon,Moldova,ChiÈ™inaƒu,2013,36
Alyona Lanskaya,Belarus,Mogilev,2013,39
Amanda Tenfjord,Norway,a…lesund Municipality,2022,28
Amaury Vassili,France,Rouen,2011,36
Amber,Malta,Kalkara,2015,34
Aminata Savadogo,Latvia,Riga,2015,32
Ana Rucner,Croatia,Zagreb,2016,42
Ana Soklia,Slovenia,Bohinj Municipality,2020,41
Anastasia Vinnikova,Soviet Union,Dzyarzhynsk,2011,34
Anastasiia Prykhodko,Ukraine,Kyiv,2009,38
Andrea a uanjara,Croatia,Split,2009,38
Andrea Demiroviat,Montenegro,Podgorica,2009,40
Andrea Koevska,North Macedonia,Skopje,2022,25
Andrei Ursu,Romania,Buzaƒu,2022,32
Andrew Lambrou,Australia,Sydney,2023,27
Andrius Pojavis,Lithuania,Jurbarkas,2013,41
Anggun,France,Jakarta,2012,51
Anita Simoncini,San Marino,Montegiardino,2015,26
Anmary,Latvia,Gulbene,2012,45
Ann Sophie,Germany,London,2015,34
Anna Odobescu,Moldova,Dubaƒsari,2019,33
Anna Rossinelli,Switzerland,Basel,2011,38
Anouk,Kingdom of the Netherlands,The Hague,2013,50
Anri Joxadze,Georgia,Tbilisi,2012,44
Anxhela Peristeri,Albania,Koraa«,2021,39
Aram Mp3,Soviet Union,Yerevan,2014,41
Arash,Iran,Tehran,2009,48
Ari a“lafsson,Iceland,Reykjava­k,2018,27
Artsvik,Armenia,Kapan,2017,40
Aurela Gaae,Albania,Vlora«,2011,50
Axel Hirsoux,Belgium,La Hestre,2014,42
Aysel Teymurzadeh,Azerbaijan,Baku,2009,36
Barbara Pravi,France,15th arrondissement of Paris,2021,32
Barei,Spain,Madrid,2016,43
Basim,Kingdom of Denmark,Copenhagen,2014,33
Ben Cristovao,Czech Republic,Plzeaˆ,2020,38
Ben Dolic,Slovenia,Ljubljana,2020,28
Birgit Sarrap,Estonia,Kohila Rural Municipality,2013,36
Blanche,Belgium,Brussels metropolitan area,2017,26
Blanka,Poland,Szczecin,2023,26
Blas Canto,Spain,Ricote,2020,33
Boggie,Hungary,Budapest,2015,38
Bojana Stamenov,Serbia,Belgrade,2015,39
Bonnie Tyler,United Kingdom,Skewen,2013,74
Brooke Scullion,United Kingdom,Bellaghy,2022,26
Brunette,Armenia,Yerevan,2023,24
ByeAlex,Hungary,Kisvarda,2013,41
Can Bonomo,Turkey,a°zmir,2012,38
Carl Espen,Norway,Bergen,2014,43
Cesar Sampson,Austria,Linz,2018,41
Chiara Siracusa,Malta,Senglea,2005,48
Chingiz Mustafayev,Azerbaijan,Moscow,2019,34
Christabelle Borg,Malta,Maarr,2018,33
Christina Chanae,Kingdom of Denmark,Copenhagen,2010,46
Christina Metaxa,Cyprus,Limassol,2009,33
Christos Mylordos,Cyprus,Nicosia,2011,34
Claudia Pascoal,Portugal,Sacao Pedro da Cova,2018,30
Cleo,Poland,Warsaw,2014,42
Conan Osa­ris,Portugal,Lisbon,2019,36
Conchita Wurst,Austria,Gmunden,2014,36
Cristina Scarlat,Moldova,ChiÈ™inaƒu,2014,44
Dalal Midhat-Talakiat,Bosnia and Herzegovina,Sarajevo,2016,43
Dana International,Israel,Tel Aviv,2011,53
Danica Krstiat,Serbia,Kragujevac,2018,29
Daniel Diges,Spain,Alcala de Henares,2010,44
Daniel Kajmakoski,North Macedonia,Struga,2015,41
Daria Kinzer,Croatia,Aschaffenburg,2011,37
Darude,Finland,Eura,2019,50
Debrah Scarlett,Norway,Basel,2015,32
Deen,Bosnia and Herzegovina,Sarajevo,2004,43
Despina Olympiou,Cyprus,Limassol,2013,49
Didrik Solli-Tangen,Norway,Porsgrunn,2010,38
Dina ažaripeva,Russia,Zelenodolsk,2013,34
Dino Merlin,Bosnia and Herzegovina,Sarajevo,2011,62
Dion Cooper,Kingdom of the Netherlands,Wassenaar,2023,31
Dominika Haakova,Czech Republic,Buffalo,2022,30
Donatan,Poland,Kraka³w,2014,40
Donny Montell,Lithuania,Vilnius,2012,37
Eduard Romanyuta,Ukraine,Ternopil,2015,32
Eldar Qasamov,Azerbaijan,Baku,2011,36
Eleftheria Eleftheriou,Cyprus,Paralimni,2012,36
Elena Gheorghe,Romania,Bucharest,2009,40
Elena Tsagkrinou,Greece,Athens,2021,30
Eleni Foureira,Greece,Fier,2018,38
Elgiazar Farashyan,Armenia,Armenia,2010,36
Elhaida Dani,Albania,Shkoda«r,2015,32
Elina Born,Estonia,Lehtse,2015,31
Elina Nechayeva,Estonia,Tallinn,2018,33
Eliot Vassamillet,Belgium,Mons,2019,24
Elitsa Todorova,Bulgaria,Varna,2007,47
Elnur Ha¼seynov,Azerbaijan,Ashgabat,2008,38
Emma,Italy,Florence,2014,41
Emma Muscat,Malta,St. Julian's,2022,25
Emmelie de Forest,Kingdom of Denmark,Randers,2013,32
Emmy,Armenia,Yerevan,2011,41
Engelbert Humperdinck,United Kingdom,Chennai,2012,89
Eric Saade,Sweden,Kattarp,2011,34
Ester Peony,Romania,Ca¢mpulung,2019,32
Eugent Bushpepa,Albania,Rra«shen,2018,41
Eva Boto,Slovenia,Dravograd,2012,29
Eva Rivas,Armenia,Rostov-on-Don,2010,38
Evelina Saaenko,Lithuania,Ra«diaka—s Eldership,2011,38
Eya¾a³r Ingi Gunnlaugsson,Iceland,Dalva­k,2013,36
Farid Mammadov,Azerbaijan,Baku,2013,33
Filipa Azevedo,Portugal,Gondomar,2010,34
Filipa Sousa,Portugal,Albufeira,2012,40
Flo Rida,United States,Opa-locka,2021,45
Franka Bateliat,Croatia,Rijeka,2018,33
Gaitana,Ukraine,Kyiv,2012,45
Geike Arnaert,Belgium,Poperinge,2021,45
Getter Jaani,Estonia,Tallinn,2011,32
Gianluca Bezzina,Malta,Qrendi,2013,35
Gianna Terzi,Greece,Thessaloniki,2018,44
Giorgos Alkaios,Greece,Athens,2010,53
Gjoko Taneski,North Macedonia,Ohrid,2010,48
Gjon's Tears,Switzerland,Saanen,2021,27
Glen Vella,Malta,Valletta,2011,42
Gor Sujyan,Armenia,Yerevan,2013,38
Gordon,Kingdom of the Netherlands,Amsterdam,2009,57
Greta Sala³me Stefansda³ttir,Iceland,Mosfellsba¦r,2012,38
Gromee,Poland,Kraka³w,2018,46
Gustaph,Belgium,Leuven,2023,45
Guy Sebastian,Australia,Klang,2015,43
Hadise,Belgium,Mol,2009,39
Hannah Mancini,United States,Los Angeles,2013,45
Harel Skaat,Israel,Kfar Saba,2010,43
Hera Bja¶rk,Iceland,Reykjava­k,2010,53
Herciana Matmuja,Albania,Kuka«s,2014,35
Hovi Star,Israel,Kiryat Ata,2016,38
Ieva Zasimauskaita—,Lithuania,Kaunas,2018,32
Igor Cukrov,Croatia,a ibenik,2009,41
Imri Ziv,Israel,Hod HaSharon,2017,33
Intars Busulis,Latvia,Talsi,2009,47
Ira Losco,Malta,Sliema,2002,44
Iris,Belgium,Herentals,2012,30
Ivana Nikoliat,Federal Republic of Yugoslavia,Nia,2021,30
Iveta Mukuchyan,Armenia,Yerevan,2016,38
Ivi Adamou,Cyprus,Agia Napa,2012,31
Jaramie Makiese,Belgium,Antwerp,2022,25
Ja³hanna Gua°raºn Ja³nsda³ttir,Iceland,Copenhagen,2009,34
Ja³n Ja³sep Sna¦bja¶rnsson,Iceland,Akureyri,2004,48
Jacques Houdek,Croatia,Velika Gorica,2017,44
Jade Ewen,United Kingdom,London,2009,37
Jala Brat,Bosnia and Herzegovina,Sarajevo,2016,38
Jamala,Ukraine,Osh,2016,41
James Newman,United Kingdom,Settle,2021,39
Jeangu Macrooy,Suriname,Paramaribo,2020,31
Jendrik Sigwart,Germany,Volksdorf,2021,30
Jeroen van der Boom,Kingdom of the Netherlands,Nijmegen,2009,53
Jesper Groth,Kingdom of Denmark,a†ra¸ska¸bing,2021,36
Jessica Mauboy,Australia,Darwin,2018,35
Jessika Muscat,Malta,Mosta,2018,36
Jessy Matador,France,Democratic Republic of the Congo,2010,42
Joan Franka,Kingdom of the Netherlands,Rotterdam,2012,35
Joci Papai,Hungary,Tata,2017,43
Joel Hokka,Finland,Lahti,2021,31
Jon Lilygreen,United Kingdom,Newport,2010,37
Josh Dubovie,United Kingdom,Laindon,2010,34
Juliana Pasha,Albania,Tirana,2010,45
Julieta Grigoryan,Armenia,Yerevan,2018,35
Jurijus Veklenko,Lithuania,Klaipa—da,2019,35
Kallay Saunders,United States,New York City,2014,40
Kaliopi,Socialist Federal Republic of Yugoslavia,Ohrid,2012,58
Kali-Svala Bja¶rgvinsda³ttir,Iceland,Reykjava­k,2017,48
Kamil Mikulaa­k,Slovakia,Trnava,2009,47
Kasey Smith,Ireland,Dublin,2014,35
Kate Miller-Heidke,Australia,Gladstone,2019,43
Katerine Duska,Greece,Montreal,2019,35
Kateryna Pavlenko,Ukraine,Nizhyn,2021,36
Kati Wolf,Hungary,Szentendre,2011,50
Kejsi Tola,Albania,Tirana,2009,33
Kjetil Ma¸rland,Norway,Grimstad,2015,44
Knez,Montenegro,Cetinje,2015,57
Kobi Marimi,Israel,Ramat Gan,2019,33
Konstrakta,Serbia,Belgrade,2022,46
Krassimir Avramov,Bulgaria,Sliven,2009,52
Krista Siegfrids,Finland,Kaskinen,2013,39
Krista­na Pelakova,Slovakia,Svidna­k,2010,37
Kristian Kostov,Russia,Moscow,2017,25
Ksenija Knea¾eviat,Serbia,Belgrade,2021,29
Kurt Calleja,Malta,a¦amrun,2012,36
La Zarra,Canada,Montreal,2023,37
Laura Groeseneken,Belgium,Leuven,2018,35
Laura Rizzotto,Latvia,Rio de Janeiro,2018,31
Lea Sirk,Slovenia,Koper,2018,35
Leanne Moore,Ireland,Limerick,2011,41
Lena Meyer-Landrut,Germany,Hanover,2010,34
Leonor Andrade,Portugal,Barreiro,2015,30
Leonora,Kingdom of Denmark,Hellerup,2019,26
Lesley Roy,Ireland,Balbriggan,2021,38
Levina,Germany,Bonn,2017,34
Lidia Isac,Moldova,Saint Petersburg,2016,32
Lidia Kopania,Poland,Koluszki,2009,47
Lisa Angell,France,Paris,2015,56
Loa¯c Nottet,Belgium,Charleroi,2015,29
Loreen,Sweden,Danderyd,2012,41
Loukas Yorkas,Cyprus,Aradhippou,2011,38
Luca­a Parez,Spain,O Incio,2011,40
Lucie Jones,Germany,Pentyrch,2017,34
Luka Cruysberghs,Belgium,Leuven,2021,24
Lukas Meijer,Sweden,Ulricehamn,2018,36
Luke Black,Serbia,aŒaaak,2023,33
Lumix,Austria,Rohrbach-Berg,2022,23
Mayns Zelmerla¶w,Sweden,Lund Cathedral parish,2015,39
Malanie Rena,Switzerland,Geneva,2015,34
Mae Muller,United Kingdom,Kentish Town,2023,27
Magdalena Tul,Poland,Gdaa„sk,2011,45
Maimuna,Belarus,Saint Petersburg,2015,45
Maja Keuc,Slovenia,Maribor,2011,33
Malena Ernman,Sweden,Uppsala Cathedral Assembly,2009,54
Malik Harris,Germany,Landsberg am Lech,2022,27
Manizha,Russia,Dushanbe,2021,34
Mara­a a“lafsda³ttir,Iceland,Bla¶ndua³s,2015,32
Marcin Mrozia„ski,Poland,Inowroca‚aw,2010,39
Marco Mengoni,Italy,Ronciglione,2013,36
Margaret Berger,Norway,Trondheim,2013,39
Maria Elena Kyriakou,Cyprus,Larnaca,2015,41
Mariko Ebralidze,Georgia,Tbilisi,2014,41
Marius Bear,Switzerland,Schlatt-Haslen,2022,32
Mariya Yaremchuk,Ukraine,Chernivtsi,2014,32
Marko Kon,Serbia,Belgrade,2009,53
Marta Jandova,Czech Republic,Prague,2015,51
Martina Majerle,Croatia,Rijeka,2009,45
Maya Sar,Bosnia and Herzegovina,Tuzla,2012,44
Mei Finegold,Israel,Rishon LeZion,2014,42
Mia Dimaiat,Croatia,Osijek,2022,32
Mia Nicolai,Kingdom of the Netherlands,Amsterdam,2023,29
Michaa‚ Szpak,Poland,Jasa‚o,2016,34
Michael Ben David,Israel,Ashkelon,2022,29
Michael von der Heide,Switzerland,Amden,2010,53
Michela Pace,Malta,Gozo,2019,24
Michele Perniola,Italy,Palagiano,2015,26
Mika Newton,Ukraine,Burshtyn,2011,39
Mikolas Josef,Czech Republic,Prague,2018,29
Milan Nikoliat,Serbia,Jagodina,2009,46
Milan Stankoviat,Serbia,Obrenovac,2010,37
Mimicat,Portugal,Coimbra,2023,40
Mira Awad,Israel,Rameh,2009,50
Mirna Raduloviat,Serbia,Subotica,2013,33
Miroslav a majda,Slovakia,Koaice,2012,36
Miroslav Kostadinov,Bulgaria,Dobrich,2010,49
Molly Smitten-Downes,United Kingdom,Anstey,2014,38
Molly Sterling,Ireland,Puckane,2015,27
Monika Kuszya„ska,Poland,aa³daº,2015,45
Monika Linkyta—,Lithuania,Garga¾dai,2015,33
Montaigne,Australia,Sydney,2020,29
Moran Mazor,Israel,Holon,2013,34
Nadav Guedj,France,Paris,2015,26
Nadine Beiler,Austria,Inzing,2011,35
Natalia Kelly,Austria,Hartford,2013,30
Natalia Gordienko,Moldova,ChiÈ™inaƒu,2006,37
Nathan Trent,Austria,Innsbruck,2017,33
Nela Pociskova,Slovakia,Bratislava,2009,34
Nelly Ciobanu,Moldova,Cania,2009,50
Nevena Boa¾oviat,Serbia,Mitrovica,2013,31
Niamh Kavanagh,Ireland,Finglas,2010,57
Nicky Byrne,Ireland,Dublin,2016,46
Niels Brinck,Kingdom of Denmark,Aarhus,2009,50
Nigar Jamal,Azerbaijan,Baku,2011,44
Niko Moilanen,Finland,Kokkola,2021,30
Nina a½ia¾iat,Montenegro,Nikaiat,2013,40
Nina Badriat,Croatia,Zagreb,2012,53
Nina Kraljiat,Croatia,Lipovljani,2016,33
Nina Radojaiat,Serbia,Belgrade,2011,35
Nina Sublati,Georgia,Moscow,2015,30
Nina Zilli,Italy,Piacenza,2012,45
Noa Kirel,Israel,Ra'anana,2023,24
Noamie Wolfs,Belgium,Scherpenheuvel-Zichem,2021,36
Nodiko Tatishvili,Georgia,Tbilisi,2013,38
Ochman,United States,Melrose,2022,26
Olena Topolia,Ukraine,Zaporizhzhia,2010,39
Olia Tira,Moldova,Potsdam,2010,37
Omar Naber,Slovenia,Ljubljana,2005,44
Oscar Loya,United States,Indio,2009,46
Oto Nemsadze,Georgia,Gori,2019,36
Ott Lepland,Estonia,Tallinn,2012,38
Ovidiu CernaƒuÈ›eanu,Romania,BotoÈ™ani,2010,50
Pa¦nda,Austria,Deutschlandsberg,2019,37
Pasha Parfeni,Moldova,Orhei,2012,39
Pastora Soler,Spain,Coria del Ra­o,2012,46
Patricia Kaas,France,Forbach,2009,58
Patrick Oucha¨ne,Belgium,City of Brussels,2009,58
Paula Seling,Romania,Baia Mare,2010,46
Pernilla Karlsson,Finland,Siuntio,2012,35
Peter Nalitch,Russia,Moscow,2010,44
Petr Elfimov,Belarus,Mogilev,2009,45
Petra Mede,Sweden,Stockholm,2013,55
Pia Maria,Austria,Tyrol,2022,22
Poli Genova,Bulgaria,Sofia,2011,38
Polina Gagarina,Russia,Moscow,2015,38
Rafaa‚ Brzozowski,Poland,Warsaw,2021,44
Ralfs Eilands,Latvia,Riga,2013,31
Rambo Amadeus,Montenegro,Kotor,2012,62
Raphael Gualazzi,Italy,Urbino,2011,43
Remo Forrer,Switzerland,Hemberg,2023,23
Rena Froger,Kingdom of the Netherlands,Amsterdam,2009,64
RiskyKidd,Greece,London,2014,31
Robert Wells,Sweden,Stockholm,2010,63
Roberto Bellarosa,Belgium,Wanze,2013,30
Robin Bengtsson,Sweden,Revesja¶ fa¶rsamling,2017,35
Robin Juhkental,Estonia,Tallinn,2010,37
Robin Stjernberg,Sweden,Hassleholm,2013,34
Roko Blaa¾eviat,Croatia,Split,2019,25
Roman Iagupov,Romania,Volgograd,2005,51
Roman Lob,Germany,Cologne,2012,35
Rona Nishliu,Kosovo,Mitrovica,2012,38
Ronela Hajati,Albania,Tirana,2022,35
Rosa Linn,Armenia,Vanadzor,2022,25
Roxen,Romania,Cluj-Napoca,2021,25
Ruth Lorenzo,Spain,Las Torres de Cotillas,2014,42
Ryan Dolan,United Kingdom,Strabane,2013,40
Ryan O'Shaughnessy,Ireland,Skerries,2018,32
Rykka,Switzerland,Vancouver,2016,39
S10,Kingdom of the Netherlands,Hoorn,2022,24
Saara Aalto,Finland,Oulunsalo,2018,38
Sabina Babayeva,Soviet Union,Baku,2012,45
Safura Alizadeh,Azerbaijan,Baku,2010,32
Sakis Rouvas,Greece,Corfu,2004,53
Salvador Sobral,Portugal,Lisbon,2017,35
Sam Ryder,United Kingdom,Maldon,2022,36
Samanta Ta«na,Latvia,Tukums,2021,36
Samira Efendi,Azerbaijan,Baku,2020,34
Samra Rahimli,Azerbaijan,Baku,2016,30
Sandhja,Finland,Helsinki,2016,34
Sandra Nurmsalu,Estonia,Alavere,2009,36
Sanja Ilic,Serbia,Belgrade,2018,74
Sanja Vuaiat,Serbia,Kruaevac,2016,31
Sanna Nielsen,Sweden,Ivetofta,2014,40
Sara Jo,Serbia,Rome,2013,31
Sarah McTernan,Ireland,Scarriff,2019,31
Sasha Son,Lithuania,Vilnius,2009,41
Sebalter,Switzerland,Faido,2014,40
Sebastian Rejman,Finland,Kallio,2019,47
Senhit,Eritrea,Bologna,2011,45
Sergej a†etkoviat,Montenegro,Podgorica,2014,49
Sergey Lazarev,Russia,Moscow,2016,42
Serhat,San Marino,Istanbul,2016,60
Sevak Khanagyan,Armenia,Metsavan,2018,38
Sieneke,Kingdom of the Netherlands,Nijmegen,2010,33
Sinaad Mulvey,Ireland,Dublin,2009,37
Slavko Kaleziat,Montenegro,Montenegro,2017,39
Sofi Marinova,Bulgaria,Sofia,2012,49
Sofia Nizharadze,Georgia,Tbilisi,2010,40
Soluna Samay,Kingdom of Denmark,Guatemala City,2012,34
Sopho Gelovani,Georgia,Tbilisi,2013,41
Soraya Arnelas,Spain,Valencia de Alcantara,2009,42
Srbuk,Armenia,Yerevan,2019,31
Stefania,Greece,Utrecht,2021,22
Stella Mwangi,Norway,Nairobi,2011,38
Stereo Mike,Greece,Piraeus,2011,47
Stig Rasta,Estonia,Tallinn,2015,45
Stoyan Yankoulov,Bulgaria,Elin Pelin,2007,58
SuRie,United Kingdom,Harlow,2018,36
Susanne Georgi,Andorra,Sja¸lund,2009,49
Suzy,Portugal,Figueira da Foz,2014,45
Svetlana Loboda,Ukraine,Irpin,2009,42
Tako Gachechiladze,Georgia,Tbilisi,2017,42
Tamar Kaprelian,United States,Scottsdale,2015,38
Tamara Todevska,North Macedonia,Skopje,2008,40
Tamta,Greece,Tbilisi,2019,44
Tanya Mikhailova,Estonia,Kaliningrad,2014,42
Thea Garrett,Malta,Tarxien,2010,33
Theodor Andrei,Romania,Bucharest,2023,20
Thomas Raggi,Italy,Rome,2021,24
Tijana Bogiateviat,Serbia,Novi Sad,2017,43
Tijana Todevska-Dapaeviat,North Macedonia,Skopje,2014,49
Tinkara Kovaa,Slovenia,Koper,2014,46
Tix,Norway,Ba¦rum Municipality,2021,32
Tom Dice,Belgium,Eeklo,2010,35
Tom Leeb,France,Paris,2020,35
Tomas N'evergreen,Kingdom of Denmark,Aarhus,2010,55
Tommi Lalli,Finland,Oulu,2021,29
Tooji,Iran,Shiraz,2012,38
Tornike Kipiani,Georgia,Tbilisi,2021,37
Trijntje Oosterhuis,Kingdom of the Netherlands,Amsterdam,2015,52
Tusse,Sweden,Kinshasa,2021,23
Uku Suviste,Estonia,Vaµru,2020,43
Umberto Alongi,Switzerland,Palermo,2016,49
Uzari,Belarus,Minsk,2015,34
Vaclav Noid Barta,Czech Republic,Prague,2015,44
Vaidas Baumila,Lithuania,Vilnius,2015,38
Vaidotas Valiukeviaius,Lithuania,Kaunas,2021,44
Valentina Monetta,San Marino,San Marino,2012,50
Vanja Radovanoviat,Montenegro,Belgrade,2018,42
Vasil Garvanliev,North Macedonia,Strumica,2021,40
Vasyl Lazarovych,Ukraine,Bania-Bereziv,2010,43
Victor Crone,Sweden,a–sterhaninge church parish,2019,33
Victor Vernicos,Greece,Athens,2023,18
Victoria De Angelis,Italy,Rome,2021,25
Victoria Georgieva,Bulgaria,Varna,2020,27
Vilija Mataaia«naita—,Lithuania,Vilnius,2014,39
Vincent Bueno,Austria,Vienna,2021,39
Vladana Vuainiat,Montenegro,Podgorica,2022,39
Vladimir Mihailov,Bulgaria,Sofia,2018,48
Vlatko Ilievski,North Macedonia,Skopje,2011,40
Vlatko Lozanoski,North Macedonia,Kiaevo,2013,40
Vukaain Brajiat,Serbia,Sanski Most,2010,41
Waldo,Finland,Finland,2009,58
Waylon,Kingdom of the Netherlands,Apeldoorn,2014,45
Yannis Karagiannis,Cyprus,Limassol,2015,31
Yulia Samoylova,Russia,Ukhta,2018,36
Yuriy Vashchuk,Belarus,Chidry,2014,42
Zhana Bergendorff,Bulgaria,Sofia,2018,39
Zinaida Kupriyanovich,Belarus,Minsk,2019,22
Zlata Ognevich,Ukraine,Kryvyi Rih,2013,39
Zoe,Austria,Vienna,2016,28
Zoli adok,Hungary,Szeged,2009,49
